ID|Language|label|definition|description|collection|parent|successor|predecessor|registry|register|ReferenceSource|ReferenceLink|governance-level-item|LegislationURI|LegislationLabel|EIONETURI|EIONETLabel|status
http://inspire.ec.europa.eu/metadata-codelist/MaintenanceFrequency/continual|es|Continual|Data is repeatedly and frequently updated.||http://inspire.ec.europa.eu/metadata-codelist/MaintenanceFrequency||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-technical|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/MaintenanceFrequency/daily|es|Daily|Data is updated each day.||http://inspire.ec.europa.eu/metadata-codelist/MaintenanceFrequency||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-technical|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/MaintenanceFrequency/weekly|es|Weekly|Data is updated on a weekly basis.||http://inspire.ec.europa.eu/metadata-codelist/MaintenanceFrequency||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-technical|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/MaintenanceFrequency/fortnightly|es|Fortnightly|Data is updated every two weeks.||http://inspire.ec.europa.eu/metadata-codelist/MaintenanceFrequency||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-technical|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/MaintenanceFrequency/monthly|es|Monthly|Data is updated each month.||http://inspire.ec.europa.eu/metadata-codelist/MaintenanceFrequency||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-technical|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/MaintenanceFrequency/quarterly|es|Quarterly|Data is updated every three months.||http://inspire.ec.europa.eu/metadata-codelist/MaintenanceFrequency||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-technical|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/MaintenanceFrequency/biannually|es|Biannually|Data is updated twice each year.||http://inspire.ec.europa.eu/metadata-codelist/MaintenanceFrequency||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-technical|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/MaintenanceFrequency/annually|es|Annually|Data is updated every year.||http://inspire.ec.europa.eu/metadata-codelist/MaintenanceFrequency||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-technical|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/MaintenanceFrequency/asNeeded|es|As needed|Data is updated as deemed necessary.||http://inspire.ec.europa.eu/metadata-codelist/MaintenanceFrequency||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-technical|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/MaintenanceFrequency/irregular|es|Irregular|Data is updated in intervals that are uneven in duration.||http://inspire.ec.europa.eu/metadata-codelist/MaintenanceFrequency||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-technical|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/MaintenanceFrequency/notPlanned|es|Not planned|There are no plans to update the data.||http://inspire.ec.europa.eu/metadata-codelist/MaintenanceFrequency||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-technical|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/MaintenanceFrequency/unknown|es|Unknown|Frequency of maintenance for the data is not known.||http://inspire.ec.europa.eu/metadata-codelist/MaintenanceFrequency||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-technical|||||http://inspire.ec.europa.eu/registry/status/valid
