ID|Language|label|definition|description|collection|parent|successor|predecessor|registry|register|ReferenceSource|ReferenceLink|governance-level-item|LegislationURI|LegislationLabel|EIONETURI|EIONETLabel|status
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/farming|es|Agricultura|Cría de animales o cultivo de plantas.||http://inspire.ec.europa.eu/metadata-codelist/TopicCategory||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-legal|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/biota|es|Biota|Flora o fauna en el medio natural.||http://inspire.ec.europa.eu/metadata-codelist/TopicCategory||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-legal|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/boundaries|es|Límites|Descripciones legales del terreno.||http://inspire.ec.europa.eu/metadata-codelist/TopicCategory||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-legal|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/climatologyMeteorologyAtmosphere|es|Atmósfera climatológica y meteorológica|Procesos y fenómenos de la atmósfera.||http://inspire.ec.europa.eu/metadata-codelist/TopicCategory||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-legal|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/economy|es|Economía|Actividades y condiciones económicas y empleo.||http://inspire.ec.europa.eu/metadata-codelist/TopicCategory||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-legal|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/elevation|es|Elevación|Altura sobre o bajo el nivel del mar.||http://inspire.ec.europa.eu/metadata-codelist/TopicCategory||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-legal|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/environment|es|Medio ambiente|Recursos medioambientales, protección y conservación.||http://inspire.ec.europa.eu/metadata-codelist/TopicCategory||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-legal|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/geoscientificInformation|es|Información geocientífica|Información perteneciente a las ciencias de la Tierra.||http://inspire.ec.europa.eu/metadata-codelist/TopicCategory||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-legal|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/health|es|Salud|Salud, servicios sanitarios, ecología humana y seguridad.||http://inspire.ec.europa.eu/metadata-codelist/TopicCategory||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-legal|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/imageryBaseMapsEarthCover|es|Cobertura de la Tierra con mapas básicos e imágenes|Cartografía básica.||http://inspire.ec.europa.eu/metadata-codelist/TopicCategory||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-legal|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/intelligenceMilitary|es|Inteligencia militar|Bases, estructuras y actividades militares.||http://inspire.ec.europa.eu/metadata-codelist/TopicCategory||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-legal|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/inlandWaters|es|Aguas interiores|Fenómenos de las aguas interiores, sistemas de drenaje y sus características.||http://inspire.ec.europa.eu/metadata-codelist/TopicCategory||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-legal|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/location|es|Localización|Información y servicios de posicionamiento||http://inspire.ec.europa.eu/metadata-codelist/TopicCategory||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-legal|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/oceans|es|Océanos|Fenómenos y características de las aguas saladas (excluidas las aguas interiores).||http://inspire.ec.europa.eu/metadata-codelist/TopicCategory||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-legal|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/planningCadastre|es|Planeamiento catastral|Información utilizada para actuaciones en relación con el uso futuro del suelo.||http://inspire.ec.europa.eu/metadata-codelist/TopicCategory||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-legal|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/society|es|Sociedad|Características de la sociedad y la cultura.||http://inspire.ec.europa.eu/metadata-codelist/TopicCategory||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-legal|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/structure|es|Estructura|Construcciones hechas por el hombre.||http://inspire.ec.europa.eu/metadata-codelist/TopicCategory||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-legal|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/transportation|es|Transporte|Medios y ayudas para transportar personas o mercancías.||http://inspire.ec.europa.eu/metadata-codelist/TopicCategory||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-legal|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/utilitiesCommunication|es|Redes de suministro|Redes de agua, de energía, de retirada de residuos, de infraestructuras de comunicaciones y servicios.||http://inspire.ec.europa.eu/metadata-codelist/TopicCategory||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-legal|||||http://inspire.ec.europa.eu/registry/status/valid
