"format"|"id"|"media_type"|"label"|"file_extension"
"3DGEOVOLUMES"|""|"http://www.opengis.net/def/interface/ogcapi-3d-geo-volumes"|"3DGEOVOLUMES"|""
"7Z"|"http://publications.europa.eu/resource/authority/file-type/7Z"|""|"7Z"|".7z"
"AAB"|"http://publications.europa.eu/resource/authority/file-type/AAB"|""|"AAB"|".aab"
"AAC"|"http://publications.europa.eu/resource/authority/file-type/AAC"|""|"AAC"|".adts"
"AKN4EU"|"http://publications.europa.eu/resource/authority/file-type/AKN4EU"|""|"AKN4EU"|".xml"
"AKN4EU_ZIP"|"http://publications.europa.eu/resource/authority/file-type/AKN4EU_ZIP"|""|"AKN4EU_ZIP"|".leg"
"AMQP"|""|"http://amqp.org"|"AMQP"|""
"APK"|"http://publications.europa.eu/resource/authority/file-type/APK"|""|"APK"|".apk"
"APPX"|"http://publications.europa.eu/resource/authority/file-type/APPX"|""|"APPX"|".appx"
"ARC"|"http://publications.europa.eu/resource/authority/file-type/ARC"|""|"ARC"|".arc"
"ARC_GZ"|"http://publications.europa.eu/resource/authority/file-type/ARC_GZ"|""|"ARC_GZ"|".arc.gz"
"ARCGIS"|""|"urn:x-esri:serviceType:ArcGIS"|"ARCGIS"|""
"ARCIMS"|""|"urn:x-esri:serviceType:ArcIMS"|"ARCIMS"|""
"ARCINFO_COV"|"http://publications.europa.eu/resource/authority/file-type/ARCINFO_COV"|""|"ARCINFO_COV"|"-"
"ARJ"|"http://publications.europa.eu/resource/authority/file-type/ARJ"|""|"ARJ"|".arj"
"ATOM"|"http://publications.europa.eu/resource/authority/file-type/ATOM"|"http://www.iana.org/assignments/media-types/application/atom+xml"|"ATOM"|".atom"
"AZW"|"http://publications.europa.eu/resource/authority/file-type/AZW"|""|"AZW"|".azw"
"BIGQUERY"|""|"http://cloud.google.com/bigquery/"|"BIGQUERY"|""
"BIN"|"http://publications.europa.eu/resource/authority/file-type/BIN"|"http://www.iana.org/assignments/media-types/application/octet-stream"|"BIN"|".bin"
"BITS"|"http://publications.europa.eu/resource/authority/file-type/BITS"|""|"BITS"|".xml"
"BMP"|"http://publications.europa.eu/resource/authority/file-type/BMP"|""|"BMP"|".bm"
"BWF"|"http://publications.europa.eu/resource/authority/file-type/BWF"|""|"BWF"|".bwf"
"BZIP2"|"http://publications.europa.eu/resource/authority/file-type/BZIP2"|""|"BZIP2"|".bz2"
"CDM"|""|""|"CDM"|""
"CDMREMOTE"|""|""|"CDMREMOTE"|""
"CDMRFEATURE"|""|""|"CDMRFEATURE"|""
"COLLECTIONCAST"|""|"http://commons.esipfed.org/ns/discovery/1.2/collectionCast#"|"COLLECTIONCAST"|""
"CSS"|"http://publications.europa.eu/resource/authority/file-type/CSS"|"http://www.iana.org/assignments/media-types/text/css"|"CSS"|".css"
"CSV"|"http://publications.europa.eu/resource/authority/file-type/CSV"|"http://www.iana.org/assignments/media-types/text/csv"|"CSV"|".csv"
"CSW"|""|"http://www.opengis.net/def/serviceType/ogc/csw"|"CSW"|""
"CT"|""|"http://www.opengeospatial.org/standards/ct"|"CT"|""
"DAPK"|"http://publications.europa.eu/resource/authority/file-type/DAPK"|""|"DAPK"|".apk"
"DAT"|""|"http://dat-data.com"|"DAT"|""
"DATAPACKAGE"|""|"http://data.okfn.org/doc/data-package"|"DATAPACKAGE"|""
"DBF"|"http://publications.europa.eu/resource/authority/file-type/DBF"|"http://www.iana.org/assignments/media-types/application/vnd.dbf"|"DBF"|".dbf"
"DCR"|"http://publications.europa.eu/resource/authority/file-type/DCR"|""|"DCR"|".dcr"
"DEB"|"http://publications.europa.eu/resource/authority/file-type/DEB"|""|"DEB"|".deb"
"DGN"|"http://publications.europa.eu/resource/authority/file-type/DGN"|""|"DGN"|".dgn"
"DMG"|"http://publications.europa.eu/resource/authority/file-type/DMG"|""|"DMG"|".dmg"
"DMP"|"http://publications.europa.eu/resource/authority/file-type/DMP"|""|"DMP"|".dmp"
"DOC"|"http://publications.europa.eu/resource/authority/file-type/DOC"|"http://www.iana.org/assignments/media-types/application/msword"|"DOC"|".doc"
"DOCX"|"http://publications.europa.eu/resource/authority/file-type/DOCX"|"http://www.iana.org/assignments/media-types/application/vnd.openxmlformats-officedocument.wordprocessingml.document"|"DOCX"|".docx"
"DOWNLOAD"|""|""|"DOWNLOAD"|""
"DTD_SGML"|"http://publications.europa.eu/resource/authority/file-type/DTD_SGML"|""|"DTD_SGML"|".dtd"
"DTD_XML"|"http://publications.europa.eu/resource/authority/file-type/DTD_XML"|"http://www.iana.org/assignments/media-types/application/xml-dtd"|"DTD_XML"|".dtd"
